Index;sexe;Tranche Age;enfant_conduite_accompagne;enfants;Tranche Revenu;formation;usage_vehicule;type_vehicule;points_perdus;age_vehicule;type_conduite;date_demande;formule;Tranche Tarifaire ;code postal
29;F;Jeune : moins de 25 ans;Aucun;FAUX;[80K - 120K[;Masters;Private;SUV;Faible;17.0;Highly Urban/ Urban;12/02/2022 20:23;dev_premium;Moyenne;23100
30;F;Adulte : 25-64 ans;Aucun;VRAI;[0 - 40K[;High School;Private;SUV;Faible;1.0;Highly Urban/ Urban;14/01/2022 07:11;dev_express;Basse;60500
31;M;Adulte : 25-64 ans;Aucun;VRAI;[0 - 40K[;High School;Commercial;Minivan;Moyen;5.0;Highly Rural/ Rural;09/04/2022 11:49;dev_integral;Moyenne;58200
32;F;Senior : 65 ans et plus;Aucun;FAUX;[80K - 120K[;Bachelors;Private;SUV;Moyen;9.0;Highly Urban/ Urban;23/03/2022 06:12;dev_express;Basse;70130
33;M;Jeune : moins de 25 ans;Aucun;FAUX;[0 - 40K[;High School;Private;SUV;Moyen;6.0;Highly Rural/ Rural;04/02/2022 17:14;dev_premium;Moyenne;49610
34;M;Adulte : 25-64 ans;Un;VRAI;[60K - 80K[;Masters;Private;Sports Car;Faible;12.0;Highly Urban/ Urban;05/02/2022 18:50;dev_express;Basse;2240
35;F;Senior : 65 ans et plus;Aucun;FAUX;[0 - 40K[;Bachelors;Private;SUV;Faible;9.0;Highly Urban/ Urban;08/02/2022 09:59;dev_integral;Moyenne;74290
36;F;Adulte : 25-64 ans;Aucun;FAUX;[0 - 40K[;Bachelors;Commercial;Sports Car;Faible;15.0;Highly Urban/ Urban;06/02/2022 22:30;dev_express;Basse;74500
37;F;Jeune : moins de 25 ans;Aucun;VRAI;[80K - 120K[;Masters;Private;SUV;Moyen;14.0;Highly Urban/ Urban;09/02/2022 14:28;dev_integral;Basse;93240
38;F;Adulte : 25-64 ans;Aucun;FAUX;>120K;Masters;Private;Minivan;Faible;15.0;Highly Urban/ Urban;26/05/2022 21:39;dev_integral;Basse;25400
39;M;Adulte : 25-64 ans;Aucun;FAUX;[40K - 60K[;High School;Private;SUV;Faible;11.0;Highly Rural/ Rural;04/03/2022 15:36;dev_premium;Moyenne;88260
40;F;Jeune : moins de 25 ans;Plusieurs;VRAI;Non connu;Bachelors;Private;Sports Car;Faible;10.0;Highly Urban/ Urban;31/05/2022 13:11;dev_express;Basse;95490
41;F;Senior : 65 ans et plus;Aucun;VRAI;[0 - 40K[;High School;Private;SUV;Moyen;8.0;Highly Urban/ Urban;30/04/2022 23:20;dev_express;Basse;83370
42;M;Adulte : 25-64 ans;Aucun;VRAI;[0 - 40K[;Bachelors;Commercial;Pickup;Faible;10.0;Highly Urban/ Urban;20/03/2022 04:00;dev_express;Basse;10000
43;F;Adulte : 25-64 ans;Un;VRAI;[40K - 60K[;High School;Private;Pickup;Faible;;Highly Urban/ Urban;02/04/2022 11:25;dev_premium;Moyenne;58180
44;M;Adulte : 25-64 ans;Aucun;FAUX;[60K - 80K[;Bachelors;Private;SUV;Faible;13.0;Highly Urban/ Urban;02/01/2022 20:05;dev_integral;Moyenne;90300
45;F;Senior : 65 ans et plus;Aucun;FAUX;[80K - 120K[;Masters;Private;SUV;Moyen;15.0;Highly Urban/ Urban;24/02/2022 21:52;dev_express;Basse;23000
46;M;Senior : 65 ans et plus;Aucun;VRAI;[0 - 40K[;High School;Private;SUV;Faible;1.0;Highly Urban/ Urban;05/04/2022 02:47;dev_express;Basse;92140
47;F;Adulte : 25-64 ans;Aucun;FAUX;>120K;Masters;Commercial;Panel Truck;Faible;13.0;Highly Urban/ Urban;21/02/2022 11:50;dev_integral;Moyenne;25400
48;M;Senior : 65 ans et plus;Aucun;FAUX;[80K - 120K[;Bachelors;Commercial;Van;Faible;7.0;Highly Urban/ Urban;21/03/2022 00:37;dev_integral;Basse;27400
49;F;Adulte : 25-64 ans;Un;VRAI;[40K - 60K[;High School;Private;Van;Faible;1.0;Highly Rural/ Rural;03/04/2022 12:30;dev_integral;Basse;56600
50;F;Jeune : moins de 25 ans;Aucun;FAUX;[0 - 40K[;High School;Commercial;Pickup;Moyen;1.0;Highly Urban/ Urban;28/03/2022 23:57;dev_integral;Moyenne;53000
51;F;Adulte : 25-64 ans;Aucun;VRAI;[40K - 60K[;High School;Private;Minivan;Faible;5.0;Highly Urban/ Urban;21/03/2022 07:59;dev_express;Basse;49280
52;M;Jeune : moins de 25 ans;Aucun;FAUX;[80K - 120K[;Bachelors;Private;Minivan;Faible;7.0;Highly Urban/ Urban;23/05/2022 09:33;dev_express;Basse;66000
53;F;Adulte : 25-64 ans;Aucun;FAUX;[40K - 60K[;Masters;Private;Sports Car;Faible;19.0;Highly Urban/ Urban;03/05/2022 20:20;dev_express;Basse;11170
54;F;Jeune : moins de 25 ans;Aucun;FAUX;[60K - 80K[;Bachelors;Commercial;Minivan;Moyen;8.0;Highly Rural/ Rural;11/04/2022 14:51;dev_express;Basse;61110
55;M;Adulte : 25-64 ans;Aucun;FAUX;[60K - 80K[;PhD;Private;Van;Faible;13.0;Highly Urban/ Urban;05/01/2022 09:29;dev_premium;Moyenne;7100
56;F;Adulte : 25-64 ans;Aucun;VRAI;[40K - 60K[;Masters;Commercial;Van;Moyen;9.0;Highly Urban/ Urban;14/05/2022 13:46;dev_integral;Basse;42410
57;M;Adulte : 25-64 ans;Aucun;FAUX;[60K - 80K[;Bachelors;Private;SUV;Moyen;12.0;Highly Urban/ Urban;20/04/2022 10:04;dev_express;Basse;75002
58;F;Senior : 65 ans et plus;Un;VRAI;[0 - 40K[;High School;Private;Van;Faible;1.0;Highly Urban/ Urban;22/01/2022 11:01;dev_express;Basse;42170
59;F;Adulte : 25-64 ans;Un;VRAI;[0 - 40K[;High School;Private;Sports Car;Faible;7.0;Highly Urban/ Urban;26/04/2022 16:17;dev_express;Basse;81270
60;F;Senior : 65 ans et plus;Aucun;FAUX;[80K - 120K[;Masters;Private;Minivan;Faible;16.0;Highly Urban/ Urban;23/03/2022 15:45;dev_integral;Basse;54460
61;F;Adulte : 25-64 ans;Aucun;FAUX;[40K - 60K[;Bachelors;Private;Pickup;Faible;8.0;Highly Urban/ Urban;27/04/2022 03:37;dev_express;Basse;62470
62;F;Senior : 65 ans et plus;Aucun;VRAI;[60K - 80K[;Bachelors;Commercial;Van;Faible;5.0;Highly Urban/ Urban;24/05/2022 02:44;dev_integral;Basse;63800
63;F;Senior : 65 ans et plus;Aucun;VRAI;[0 - 40K[;High School;Private;Sports Car;Faible;1.0;Highly Urban/ Urban;09/05/2022 23:43;dev_express;Basse;46110
64;F;Jeune : moins de 25 ans;Aucun;FAUX;[0 - 40K[;Bachelors;Private;SUV;Faible;6.0;Highly Urban/ Urban;22/04/2022 08:38;dev_integral;Basse;50110
65;M;Adulte : 25-64 ans;Aucun;FAUX;[60K - 80K[;High School;Private;SUV;Moyen;1.0;Highly Urban/ Urban;17/05/2022 07:36;dev_express;Basse;33270
66;M;Senior : 65 ans et plus;Aucun;FAUX;[80K - 120K[;Bachelors;Private;Pickup;Faible;7.0;Highly Urban/ Urban;01/05/2022 22:37;dev_express;Basse;56160
67;M;Adulte : 25-64 ans;Aucun;FAUX;[0 - 40K[;High School;Private;Minivan;Moyen;5.0;Highly Rural/ Rural;29/05/2022 10:50;dev_express;Basse;93500
68;M;Senior : 65 ans et plus;Aucun;VRAI;[0 - 40K[;Bachelors;Private;SUV;Moyen;13.0;Highly Urban/ Urban;04/04/2022 09:48;dev_express;Basse;23000
69;F;Jeune : moins de 25 ans;Aucun;FAUX;[80K - 120K[;Bachelors;Commercial;Pickup;Faible;3.0;Highly Urban/ Urban;27/01/2022 21:31;dev_integral;Moyenne;58640
70;F;Jeune : moins de 25 ans;Aucun;FAUX;[60K - 80K[;Bachelors;Private;SUV;Faible;9.0;Highly Urban/ Urban;13/01/2022 03:29;dev_integral;Moyenne;43120
71;M;Adulte : 25-64 ans;Aucun;FAUX;>120K;PhD;Private;SUV;Moyen;12.0;Highly Urban/ Urban;08/01/2022 11:18;dev_express;Basse;82000
72;M;Jeune : moins de 25 ans;Aucun;FAUX;[80K - 120K[;Bachelors;Private;Minivan;Moyen;9.0;Highly Urban/ Urban;05/04/2022 09:02;dev_integral;Basse;56300
73;F;Senior : 65 ans et plus;Aucun;VRAI;[60K - 80K[;High School;Private;Minivan;Moyen;9.0;Highly Rural/ Rural;14/02/2022 02:00;dev_premium;Moyenne;17590
74;M;Senior : 65 ans et plus;Aucun;FAUX;[40K - 60K[;Bachelors;Private;Pickup;Faible;8.0;Highly Urban/ Urban;14/01/2022 13:12;dev_express;Basse;39220
75;F;Adulte : 25-64 ans;Aucun;FAUX;[80K - 120K[;Masters;Private;SUV;Faible;18.0;Highly Urban/ Urban;20/04/2022 02:38;dev_integral;Moyenne;20290
76;F;Senior : 65 ans et plus;Aucun;FAUX;[60K - 80K[;High School;Commercial;Minivan;Moyen;1.0;Highly Urban/ Urban;10/05/2022 13:40;dev_express;Basse;1000
77;M;Adulte : 25-64 ans;Aucun;FAUX;[40K - 60K[;Bachelors;Commercial;Panel Truck;Moyen;11.0;Highly Urban/ Urban;24/01/2022 17:35;dev_premium;Moyenne;47240
78;F;Adulte : 25-64 ans;Aucun;FAUX;[40K - 60K[;High School;Private;Minivan;Moyen;6.0;Highly Urban/ Urban;01/02/2022 04:48;dev_express;Basse;31130
79;M;Adulte : 25-64 ans;Aucun;FAUX;[80K - 120K[;High School;Private;Minivan;Faible;1.0;Highly Urban/ Urban;20/04/2022 07:29;dev_premium;Moyenne;48200
80;M;Senior : 65 ans et plus;Aucun;FAUX;[0 - 40K[;High School;Private;Sports Car;Faible;3.0;Highly Rural/ Rural;02/01/2022 10:07;dev_express;Basse;90300
81;M;Adulte : 25-64 ans;Aucun;FAUX;[80K - 120K[;High School;Commercial;Van;Faible;8.0;Highly Rural/ Rural;18/02/2022 08:51;dev_express;Basse;4180
82;F;Adulte : 25-64 ans;Aucun;VRAI;[0 - 40K[;Bachelors;Commercial;SUV;Faible;4.0;Highly Urban/ Urban;27/04/2022 19:14;dev_express;Basse;1440
83;M;Adulte : 25-64 ans;Aucun;FAUX;[0 - 40K[;High School;Private;Sports Car;Faible;;Highly Rural/ Rural;09/05/2022 03:37;dev_express;Basse;31770
84;M;Adulte : 25-64 ans;Aucun;FAUX;[40K - 60K[;High School;Commercial;Pickup;Moyen;8.0;Highly Urban/ Urban;14/01/2022 21:13;dev_express;Basse;61250
85;M;Adulte : 25-64 ans;Aucun;FAUX;[40K - 60K[;High School;Private;Minivan;Faible;9.0;Highly Urban/ Urban;30/03/2022 13:20;dev_express;Basse;58260
86;M;Adulte : 25-64 ans;Aucun;FAUX;Non connu;Masters;Private;Minivan;Faible;17.0;Highly Urban/ Urban;25/01/2022 00:58;dev_premium;Moyenne;9000
87;F;Jeune : moins de 25 ans;Un;VRAI;[0 - 40K[;High School;Private;SUV;Faible;1.0;Highly Rural/ Rural;28/05/2022 07:13;dev_express;Basse;48000
88;M;Adulte : 25-64 ans;Aucun;FAUX;[40K - 60K[;Masters;Private;Minivan;Faible;13.0;Highly Urban/ Urban;12/02/2022 08:10;dev_premium;Moyenne;42390
89;M;Adulte : 25-64 ans;Aucun;VRAI;[40K - 60K[;Masters;Private;Sports Car;Faible;2.0;Highly Rural/ Rural;11/01/2022 16:57;dev_integral;Basse;41400
90;M;Senior : 65 ans et plus;Aucun;FAUX;[40K - 60K[;High School;Commercial;Minivan;Moyen;1.0;Highly Urban/ Urban;15/04/2022 05:20;dev_express;Basse;67600
91;F;Jeune : moins de 25 ans;Aucun;VRAI;[0 - 40K[;High School;Private;Minivan;Faible;1.0;Highly Urban/ Urban;28/03/2022 10:41;dev_premium;Moyenne;80480
92;F;Jeune : moins de 25 ans;Aucun;FAUX;[80K - 120K[;High School;Private;Sports Car;Moyen;1.0;Highly Urban/ Urban;26/02/2022 21:26;dev_premium;Moyenne;4300
93;M;Adulte : 25-64 ans;Aucun;FAUX;[40K - 60K[;High School;Private;Van;Faible;1.0;Highly Urban/ Urban;17/01/2022 08:39;dev_express;Basse;55310
94;F;Senior : 65 ans et plus;Aucun;FAUX;[60K - 80K[;Bachelors;Private;Pickup;Moyen;11.0;Highly Urban/ Urban;16/04/2022 00:13;dev_integral;Basse;84110
95;F;Adulte : 25-64 ans;Aucun;FAUX;[0 - 40K[;High School;Commercial;Pickup;Faible;5.0;Highly Rural/ Rural;12/01/2022 03:39;dev_integral;Moyenne;74500
96;M;Adulte : 25-64 ans;Aucun;FAUX;[0 - 40K[;High School;Private;Minivan;Moyen;1.0;Highly Urban/ Urban;23/03/2022 01:48;dev_express;Basse;45000
97;F;Adulte : 25-64 ans;Un;VRAI;[40K - 60K[;High School;Private;Minivan;Faible;6.0;Highly Urban/ Urban;17/04/2022 15:27;dev_integral;Basse;40000
98;M;Adulte : 25-64 ans;Aucun;VRAI;[60K - 80K[;PhD;Private;Van;Faible;8.0;Highly Urban/ Urban;05/05/2022 04:13;dev_integral;Moyenne;12630
99;M;Jeune : moins de 25 ans;Aucun;FAUX;[60K - 80K[;High School;Commercial;SUV;Faible;1.0;Highly Urban/ Urban;28/02/2022 07:30;dev_integral;Moyenne;49125
100;M;Senior : 65 ans et plus;Aucun;VRAI;[0 - 40K[;Masters;Commercial;Pickup;Moyen;12.0;Highly Urban/ Urban;12/02/2022 17:39;dev_integral;Moyenne;64130
101;F;Jeune : moins de 25 ans;Aucun;VRAI;[40K - 60K[;High School;Private;Minivan;Faible;1.0;Highly Urban/ Urban;07/01/2022 19:37;dev_integral;Moyenne;1090
102;M;Adulte : 25-64 ans;Aucun;FAUX;>120K;Bachelors;Private;Minivan;Moyen;11.0;Highly Urban/ Urban;07/01/2022 13:02;dev_integral;Moyenne;19100
103;M;Jeune : moins de 25 ans;Aucun;FAUX;>120K;Masters;Commercial;Panel Truck;Moyen;17.0;Highly Urban/ Urban;12/01/2022 00:08;dev_express;Basse;12000
104;M;Adulte : 25-64 ans;Aucun;FAUX;[60K - 80K[;Bachelors;Private;Minivan;Faible;12.0;Highly Urban/ Urban;24/05/2022 14:39;dev_premium;Moyenne;5330
105;M;Jeune : moins de 25 ans;Aucun;VRAI;Non connu;PhD;Commercial;Panel Truck;Faible;14.0;Highly Urban/ Urban;25/03/2022 12:49;dev_integral;Basse;86280
106;F;Senior : 65 ans et plus;Un;VRAI;[0 - 40K[;High School;Private;Minivan;Faible;5.0;Highly Urban/ Urban;02/01/2022 00:52;dev_integral;Moyenne;37130
107;M;Adulte : 25-64 ans;Aucun;VRAI;[60K - 80K[;Bachelors;Commercial;Minivan;Faible;12.0;Highly Rural/ Rural;01/03/2022 04:35;dev_integral;Moyenne;28140
108;F;Adulte : 25-64 ans;Aucun;VRAI;>120K;Bachelors;Private;Minivan;Moyen;11.0;Highly Urban/ Urban;28/01/2022 11:20;dev_express;Basse;48220
109;M;Senior : 65 ans et plus;Aucun;FAUX;[0 - 40K[;High School;Private;SUV;Faible;9.0;Highly Urban/ Urban;29/04/2022 08:01;dev_premium;Moyenne;29820
110;M;Adulte : 25-64 ans;Aucun;FAUX;[60K - 80K[;Bachelors;Commercial;SUV;Faible;9.0;Highly Urban/ Urban;20/01/2022 00:10;dev_integral;Basse;31120
111;M;Adulte : 25-64 ans;Un;VRAI;[80K - 120K[;Bachelors;Commercial;Minivan;Faible;12.0;Highly Urban/ Urban;06/05/2022 14:07;dev_express;Basse;13140
112;M;Senior : 65 ans et plus;Aucun;VRAI;[0 - 40K[;High School;Private;SUV;Faible;8.0;Highly Urban/ Urban;14/03/2022 17:19;dev_express;Basse;45380
113;F;Adulte : 25-64 ans;Aucun;VRAI;[40K - 60K[;High School;Commercial;Minivan;Moyen;6.0;Highly Urban/ Urban;20/03/2022 10:44;dev_express;Basse;70800
114;F;Adulte : 25-64 ans;Aucun;FAUX;[80K - 120K[;Bachelors;Private;SUV;Faible;14.0;Highly Urban/ Urban;18/01/2022 01:43;dev_premium;Moyenne;41290
115;F;Adulte : 25-64 ans;Un;VRAI;[0 - 40K[;High School;Private;Minivan;Faible;1.0;Highly Rural/ Rural;23/01/2022 11:52;dev_premium;Moyenne;84740
116;F;Senior : 65 ans et plus;Un;VRAI;[40K - 60K[;Bachelors;Private;Sports Car;Faible;11.0;Highly Rural/ Rural;07/01/2022 23:42;dev_express;Basse;20290
117;F;Adulte : 25-64 ans;Plusieurs;VRAI;[0 - 40K[;High School;Private;Pickup;Faible;7.0;Highly Urban/ Urban;02/01/2022 23:14;dev_integral;Moyenne;30190
118;M;Jeune : moins de 25 ans;Plusieurs;VRAI;[40K - 60K[;High School;Commercial;Sports Car;Moyen;1.0;Highly Urban/ Urban;23/05/2022 03:25;dev_integral;Moyenne;74150
119;M;Jeune : moins de 25 ans;Aucun;FAUX;[60K - 80K[;Masters;Private;Minivan;Faible;15.0;Highly Urban/ Urban;29/05/2022 09:22;dev_integral;Moyenne;4220
120;M;Senior : 65 ans et plus;Aucun;FAUX;[0 - 40K[;PhD;Private;SUV;Faible;13.0;Highly Rural/ Rural;09/02/2022 09:54;dev_integral;Moyenne;93700
121;M;Adulte : 25-64 ans;Aucun;VRAI;[80K - 120K[;Masters;Private;Minivan;Moyen;11.0;Highly Urban/ Urban;17/02/2022 21:50;dev_express;Basse;28300
122;M;Senior : 65 ans et plus;Aucun;FAUX;[80K - 120K[;Bachelors;Private;SUV;Faible;12.0;Highly Urban/ Urban;06/05/2022 08:05;dev_integral;Moyenne;88110
123;F;Adulte : 25-64 ans;Aucun;FAUX;[60K - 80K[;Bachelors;Private;Pickup;Faible;11.0;Highly Urban/ Urban;25/01/2022 10:57;dev_integral;Moyenne;1800
124;F;Adulte : 25-64 ans;Aucun;VRAI;[0 - 40K[;Masters;Private;Van;Moyen;9.0;Highly Urban/ Urban;01/01/2022 10:42;dev_integral;Moyenne;42400
125;M;Adulte : 25-64 ans;Aucun;FAUX;[80K - 120K[;Bachelors;Private;Minivan;Faible;8.0;Highly Urban/ Urban;02/04/2022 23:05;dev_integral;Basse;4000
126;M;Senior : 65 ans et plus;Aucun;FAUX;[80K - 120K[;High School;Private;Minivan;Moyen;1.0;Highly Urban/ Urban;14/04/2022 03:03;dev_integral;Basse;81100
127;M;Jeune : moins de 25 ans;Aucun;FAUX;[0 - 40K[;High School;Commercial;Minivan;Moyen;1.0;Highly Rural/ Rural;07/03/2022 01:04;dev_express;Basse;75015
128;M;Jeune : moins de 25 ans;Aucun;FAUX;[40K - 60K[;Bachelors;Commercial;Sports Car;Faible;;Highly Urban/ Urban;04/04/2022 21:37;dev_premium;Moyenne;66220
129;M;Adulte : 25-64 ans;Aucun;FAUX;>120K;PhD;Private;Minivan;Faible;13.0;Highly Urban/ Urban;20/04/2022 04:58;dev_express;Basse;12800
130;F;Senior : 65 ans et plus;Aucun;VRAI;[0 - 40K[;Bachelors;Private;Sports Car;Faible;13.0;Highly Urban/ Urban;25/02/2022 11:43;dev_express;Basse;61110
131;F;Senior : 65 ans et plus;Aucun;VRAI;[0 - 40K[;High School;Private;Minivan;Elevé;9.0;Highly Urban/ Urban;28/05/2022 00:32;dev_vip;Elevée;21800
132;M;Jeune : moins de 25 ans;Aucun;VRAI;[0 - 40K[;High School;Private;SUV;Faible;1.0;Highly Rural/ Rural;18/03/2022 05:26;dev_express;Basse;88300
133;M;Adulte : 25-64 ans;Aucun;FAUX;[0 - 40K[;High School;Private;Minivan;Moyen;5.0;Highly Urban/ Urban;25/02/2022 19:06;dev_express;Basse;17600
134;F;Jeune : moins de 25 ans;Un;VRAI;[40K - 60K[;Bachelors;Private;SUV;Faible;9.0;Highly Urban/ Urban;08/04/2022 14:50;dev_integral;Basse;74250
135;F;Senior : 65 ans et plus;Aucun;VRAI;[80K - 120K[;Masters;Private;Minivan;Faible;16.0;Highly Urban/ Urban;01/05/2022 13:47;dev_integral;Moyenne;48200
136;M;Jeune : moins de 25 ans;Aucun;FAUX;[40K - 60K[;Masters;Commercial;Van;Moyen;15.0;Highly Urban/ Urban;27/03/2022 09:47;dev_integral;Moyenne;10600
137;M;Adulte : 25-64 ans;Plusieurs;VRAI;>120K;Masters;Commercial;Van;Moyen;9.0;Highly Urban/ Urban;11/05/2022 02:14;dev_express;Basse;47300
138;M;Adulte : 25-64 ans;Aucun;VRAI;[40K - 60K[;High School;Commercial;SUV;Moyen;1.0;Highly Urban/ Urban;31/05/2022 03:31;dev_express;Basse;52100
139;F;Adulte : 25-64 ans;Aucun;VRAI;Non connu;High School;Private;Sports Car;Moyen;7.0;Highly Urban/ Urban;24/04/2022 23:44;dev_premium;Moyenne;72170
140;M;Adulte : 25-64 ans;Aucun;FAUX;[80K - 120K[;High School;Commercial;Sports Car;Moyen;9.0;Highly Urban/ Urban;06/03/2022 04:31;dev_integral;Moyenne;44420
141;F;Adulte : 25-64 ans;Aucun;FAUX;[80K - 120K[;Masters;Private;Minivan;Faible;9.0;Highly Urban/ Urban;18/02/2022 17:27;dev_integral;Basse;79000
142;F;Jeune : moins de 25 ans;Aucun;VRAI;>120K;Bachelors;Private;Pickup;Faible;12.0;Highly Urban/ Urban;05/01/2022 05:06;dev_integral;Moyenne;10120
143;M;Senior : 65 ans et plus;Aucun;FAUX;[40K - 60K[;Bachelors;Private;SUV;Moyen;15.0;Highly Urban/ Urban;19/02/2022 05:07;dev_premium;Moyenne;11120
144;M;Senior : 65 ans et plus;Aucun;VRAI;[0 - 40K[;High School;Commercial;SUV;Moyen;;Highly Urban/ Urban;21/05/2022 17:06;dev_express;Basse;46000
145;M;Adulte : 25-64 ans;Aucun;FAUX;[0 - 40K[;Bachelors;Private;SUV;Moyen;11.0;Highly Urban/ Urban;13/05/2022 05:41;dev_express;Basse;78800
146;M;Adulte : 25-64 ans;Aucun;FAUX;[80K - 120K[;Bachelors;Private;SUV;Faible;7.0;Highly Urban/ Urban;20/02/2022 18:23;dev_integral;Moyenne;74930
147;M;Adulte : 25-64 ans;Un;VRAI;[0 - 40K[;High School;Private;SUV;Faible;10.0;Highly Rural/ Rural;16/04/2022 08:28;dev_integral;Basse;25000
148;F;Senior : 65 ans et plus;Aucun;FAUX;[80K - 120K[;Masters;Private;SUV;Faible;19.0;Highly Urban/ Urban;03/03/2022 11:37;dev_integral;Basse;23600
